User_ID,User_Type,Start_Location,Temperature_C,Route_Preference,Hydration_Stops_Clicked,Premium_Plan_Purchased,Cooling_Kit_Revenue_AED,App_Rating
10076,Daily Commuter,Deira,46,Indoor Shortcut,2,1,,5
10077,Daily Commuter,DIFC,43,Metro-Taxi Combo,3,1,,1
10078,Tourist,Jumeirah,32,Indoor Shortcut,1,0,,4
10079,Daily Commuter,Jumeirah,44,Metro-Taxi Combo,4,0,,3
10080,Tourist,Deira,45,Shaded Walking,0,0,45.0,5
10081,Leisure Resident,Marina,39,Metro-Taxi Combo,5,0,,5
10082,Daily Commuter,Deira,39,Indoor Shortcut,2,1,,4
10083,Tourist,Deira,43,Shaded Walking,1,0,45.0,5
10084,Tourist,Downtown Dubai,32,Metro-Taxi Combo,1,1,,4
10085,Tourist,DIFC,42,Indoor Shortcut,1,0,,3
10086,Tourist,Jumeirah,39,Shaded Walking,2,0,,5
10087,Daily Commuter,Marina,41,Metro-Taxi Combo,1,0,75.0,3
10088,Daily Commuter,Jumeirah,42,Indoor Shortcut,4,0,,5
10089,Leisure Resident,Jumeirah,38,Metro-Taxi Combo,3,1,,2
10090,Daily Commuter,DIFC,42,Metro-Taxi Combo,0,0,,3
10091,Tourist,Jumeirah,48,Shaded Walking,2,1,,5
10092,Daily Commuter,Jumeirah,32,Shaded Walking,0,0,,5
10093,Daily Commuter,Deira,39,Indoor Shortcut,0,0,,2
10094,Daily Commuter,DIFC,37,Shaded Walking,2,0,,5
10095,Daily Commuter,Downtown Dubai,37,Indoor Shortcut,3,0,,5
10096,Daily Commuter,Marina,36,Metro-Taxi Combo,2,0,,5
10097,Daily Commuter,Jumeirah,44,Metro-Taxi Combo,2,0,,3
10098,Daily Commuter,Marina,39,Indoor Shortcut,1,0,,5
10099,Tourist,Downtown Dubai,40,Metro-Taxi Combo,0,0,,5
10100,Tourist,Marina,48,Shaded Walking,2,0,,2
10101,Tourist,Downtown Dubai,34,Metro-Taxi Combo,3,0,,5
10102,Daily Commuter,Deira,42,Shaded Walking,3,0,,5
10103,Tourist,Jumeirah,48,Indoor Shortcut,3,0,,5
10104,Daily Commuter,Downtown Dubai,33,Indoor Shortcut,3,0,,5
10105,Leisure Resident,Marina,39,Metro-Taxi Combo,0,1,,5
10106,Tourist,Jumeirah,38,Metro-Taxi Combo,1,0,,5
10107,Daily Commuter,Deira,48,Shaded Walking,2,0,,5
10108,Daily Commuter,Jumeirah,37,Shaded Walking,1,0,,5
10109,Tourist,Downtown Dubai,37,Metro-Taxi Combo,4,0,,5
10110,Tourist,Deira,33,Metro-Taxi Combo,0,1,,4
10111,Tourist,Marina,37,Indoor Shortcut,1,0,,4
10112,Tourist,Deira,36,Indoor Shortcut,4,0,,5
10113,Leisure Resident,Deira,35,Indoor Shortcut,1,0,,1
10114,Leisure Resident,DIFC,48,Metro-Taxi Combo,2,0,,5
10115,Daily Commuter,Deira,42,Metro-Taxi Combo,4,0,,5
10116,Leisure Resident,Deira,35,Metro-Taxi Combo,2,0,,5
10117,Leisure Resident,Jumeirah,44,Indoor Shortcut,3,0,,-1
10118,Tourist,Marina,48,Metro-Taxi Combo,1,0,,5
10119,Leisure Resident,Jumeirah,40,Shaded Walking,2,0,,2
10120,Daily Commuter,Jumeirah,35,Metro-Taxi Combo,1,0,,5
10121,Leisure Resident,Downtown Dubai,45,Metro-Taxi Combo,3,0,,4
10122,Leisure Resident,Jumeirah,34,Metro-Taxi Combo,3,0,,4
10123,Tourist,DIFC,45,Metro-Taxi Combo,1,0,,4
10124,Tourist,DIFC,39,Metro-Taxi Combo,3,0,75.0,4
10125,Tourist,Downtown Dubai,32,Shaded Walking,3,0,,4
10126,Daily Commuter,Marina,41,Shaded Walking,3,0,,4
10127,Leisure Resident,Marina,47,Metro-Taxi Combo,2,0,45.0,5
10128,Leisure Resident,Jumeirah,39,Indoor Shortcut,0,0,,5
10129,Tourist,Jumeirah,32,Metro-Taxi Combo,4,0,,4
10130,Daily Commuter,Jumeirah,43,Metro-Taxi Combo,1,0,75.0,4
10131,Daily Commuter,Marina,39,Metro-Taxi Combo,2,0,,5
10132,Tourist,Deira,47,Indoor Shortcut,2,0,,5
10133,Tourist,DIFC,35,Indoor Shortcut,1,0,,5
10134,Tourist,Deira,37,Indoor Shortcut,2,0,,1
10135,Leisure Resident,Deira,43,Shaded Walking,6,1,,5
10136,Tourist,Marina,40,Indoor Shortcut,0,0,,5
10137,Daily Commuter,Deira,46,Shaded Walking,4,0,,5
10138,Daily Commuter,Downtown Dubai,47,Shaded Walking,2,0,45.0,3
10139,Daily Commuter,Jumeirah,43,Indoor Shortcut,1,0,,4
10140,Leisure Resident,Downtown Dubai,45,Indoor Shortcut,2,0,,4
10141,Leisure Resident,DIFC,44,Indoor Shortcut,4,0,45.0,4
10142,Tourist,Jumeirah,33,Shaded Walking,1,0,,5
10143,Daily Commuter,Deira,34,Metro-Taxi Combo,2,0,,5
10144,Tourist,DIFC,41,Indoor Shortcut,2,0,,5
10145,Tourist,Jumeirah,40,Indoor Shortcut,5,0,,5
10146,Tourist,Deira,39,Indoor Shortcut,1,1,,5
10147,Daily Commuter,Downtown Dubai,41,Shaded Walking,0,1,,4
10148,Daily Commuter,Jumeirah,34,Shaded Walking,2,0,,5
10149,Tourist,Deira,36,Metro-Taxi Combo,1,0,45.0,5
10150,Tourist,Downtown Dubai,34,Indoor Shortcut,0,0,,4
10151,Leisure Resident,DIFC,47,Shaded Walking,1,0,,4
10152,Tourist,DIFC,48,Metro-Taxi Combo,1,0,,5
10153,Tourist,DIFC,46,Indoor Shortcut,2,0,,5
10154,Daily Commuter,DIFC,34,Shaded Walking,2,0,45.0,1
10155,Leisure Resident,Marina,43,Indoor Shortcut,2,0,,5
10156,Tourist,Jumeirah,40,Indoor Shortcut,0,0,45.0,5
10157,Daily Commuter,Jumeirah,43,Shaded Walking,3,1,45.0,5
10158,Daily Commuter,Marina,46,Shaded Walking,1,0,,3
10159,Tourist,Deira,33,Shaded Walking,1,0,,4
10160,Daily Commuter,Deira,43,Indoor Shortcut,3,0,45.0,5
10161,Daily Commuter,DIFC,35,Indoor Shortcut,1,1,,5
10162,Daily Commuter,Downtown Dubai,47,Metro-Taxi Combo,0,0,75.0,4
10163,Daily Commuter,Deira,47,Indoor Shortcut,1,0,,4
10164,Daily Commuter,Downtown Dubai,32,Shaded Walking,2,1,45.0,4
10165,Tourist,Jumeirah,33,Indoor Shortcut,2,0,,4
10166,Leisure Resident,Downtown Dubai,34,Metro-Taxi Combo,1,0,,5
10167,Tourist,Jumeirah,48,Metro-Taxi Combo,1,0,,5
10168,Tourist,Marina,32,Shaded Walking,4,0,,4
10169,Tourist,Marina,37,Shaded Walking,3,0,,3
10170,Daily Commuter,DIFC,46,Metro-Taxi Combo,0,0,45.0,5
10171,Daily Commuter,Deira,45,Metro-Taxi Combo,1,0,45.0,2
10172,Tourist,DIFC,46,Metro-Taxi Combo,3,0,,5
10173,Daily Commuter,Jumeirah,45,Shaded Walking,3,0,,5
10174,Tourist,DIFC,36,Metro-Taxi Combo,1,0,,5
10175,Daily Commuter,Downtown Dubai,37,Metro-Taxi Combo,2,1,,4
10176,Tourist,Jumeirah,48,Shaded Walking,3,0,,2
10177,Daily Commuter,Marina,42,Indoor Shortcut,1,0,75.0,4
10178,Daily Commuter,Deira,47,Indoor Shortcut,0,0,,4
10179,Leisure Resident,Jumeirah,43,Metro-Taxi Combo,2,0,,4
10180,Tourist,Jumeirah,46,Indoor Shortcut,3,1,,5
10181,Tourist,Downtown Dubai,35,Indoor Shortcut,2,0,,5
10182,Tourist,Deira,34,Indoor Shortcut,3,0,,5
10183,Leisure Resident,Marina,39,Indoor Shortcut,0,0,,4
10184,Leisure Resident,Jumeirah,34,Metro-Taxi Combo,2,0,,5
10185,Tourist,Jumeirah,39,Indoor Shortcut,4,0,,5
10186,Daily Commuter,Downtown Dubai,41,Indoor Shortcut,4,0,,4
10187,Leisure Resident,DIFC,48,Shaded Walking,2,0,,5
10188,Daily Commuter,Marina,39,Metro-Taxi Combo,2,0,,4
10189,Daily Commuter,Deira,42,Shaded Walking,1,0,,4
10190,Tourist,Jumeirah,36,Shaded Walking,1,0,75.0,3
10191,Tourist,Jumeirah,44,Metro-Taxi Combo,0,0,,5
10192,Leisure Resident,Marina,36,Indoor Shortcut,2,0,75.0,5
10193,Leisure Resident,DIFC,44,Shaded Walking,0,0,,4
10194,Daily Commuter,Jumeirah,37,Metro-Taxi Combo,1,0,,4
10195,Tourist,Marina,36,Indoor Shortcut,3,0,,2
10196,Tourist,Downtown Dubai,40,Metro-Taxi Combo,0,0,45.0,4
10197,Daily Commuter,DIFC,47,Shaded Walking,2,0,,4
10198,Leisure Resident,Deira,33,Indoor Shortcut,1,0,,4
10199,Leisure Resident,Jumeirah,32,Indoor Shortcut,2,1,,4
10200,Daily Commuter,Marina,39,Metro-Taxi Combo,0,0,,5
10201,Daily Commuter,Downtown Dubai,42,Indoor Shortcut,2,0,,5
10202,Tourist,Deira,43,Shaded Walking,1,0,,5
10203,Tourist,Marina,43,Shaded Walking,3,0,,2
10204,Leisure Resident,Marina,38,Shaded Walking,3,1,75.0,4
10205,Daily Commuter,Deira,44,Metro-Taxi Combo,2,0,,4
10206,Tourist,Downtown Dubai,39,Indoor Shortcut,2,0,75.0,4
10207,Tourist,Downtown Dubai,40,Indoor Shortcut,2,0,,3
10208,Daily Commuter,DIFC,38,Indoor Shortcut,0,0,45.0,5
10209,Tourist,Jumeirah,46,Shaded Walking,2,0,,5
10210,Tourist,Deira,33,Indoor Shortcut,2,0,,3
10211,Daily Commuter,Deira,43,Shaded Walking,1,1,,4
10212,Daily Commuter,Deira,32,Indoor Shortcut,3,0,,5
10213,Daily Commuter,Downtown Dubai,39,Shaded Walking,1,0,75.0,3
10214,Tourist,Jumeirah,36,Indoor Shortcut,1,0,,5
10215,Daily Commuter,DIFC,46,Metro-Taxi Combo,2,0,,5
10216,Tourist,Marina,32,Metro-Taxi Combo,1,0,,5
10217,Tourist,Marina,32,Shaded Walking,1,0,,4
10218,Daily Commuter,Deira,41,Shaded Walking,0,0,,4
10219,Daily Commuter,Jumeirah,41,Indoor Shortcut,3,0,,4
10220,Leisure Resident,Downtown Dubai,46,Indoor Shortcut,2,0,,5
10221,Daily Commuter,Jumeirah,48,Metro-Taxi Combo,2,0,,5
10222,Daily Commuter,Jumeirah,37,Indoor Shortcut,4,1,,5
10223,Tourist,Downtown Dubai,34,Shaded Walking,1,1,,5
10224,Daily Commuter,Deira,44,Shaded Walking,3,0,,5
10225,Tourist,Jumeirah,47,Shaded Walking,2,0,75.0,5
10226,Tourist,Marina,39,Shaded Walking,2,1,,5
10227,Leisure Resident,Downtown Dubai,46,Shaded Walking,1,0,,5
10228,Daily Commuter,DIFC,48,Metro-Taxi Combo,3,0,,5
10229,Leisure Resident,Deira,48,Metro-Taxi Combo,1,0,,4
10230,Daily Commuter,Downtown Dubai,44,Shaded Walking,2,0,,5
10231,Daily Commuter,DIFC,48,Indoor Shortcut,1,0,,4
10232,Daily Commuter,DIFC,37,Shaded Walking,3,0,,4
10233,Daily Commuter,Jumeirah,48,Metro-Taxi Combo,3,0,,5
10234,Daily Commuter,Jumeirah,47,Shaded Walking,1,0,,5
10235,Tourist,Jumeirah,45,Metro-Taxi Combo,2,0,,5
10236,Daily Commuter,Downtown Dubai,44,Metro-Taxi Combo,0,0,45.0,4
10237,Tourist,Downtown Dubai,37,Shaded Walking,2,0,,5
10238,Tourist,Deira,34,Shaded Walking,2,1,,4
10239,Daily Commuter,Jumeirah,45,Indoor Shortcut,0,1,,5
10240,Tourist,DIFC,45,Metro-Taxi Combo,3,0,,3
10241,Leisure Resident,Marina,46,Indoor Shortcut,4,0,,5
10242,Leisure Resident,Deira,39,Shaded Walking,0,0,,5
10243,Leisure Resident,Downtown Dubai,46,Metro-Taxi Combo,3,0,,4
10244,Daily Commuter,Deira,44,Indoor Shortcut,1,1,,5
10245,Tourist,Deira,48,Indoor Shortcut,2,0,,5
10246,Leisure Resident,Deira,34,Indoor Shortcut,3,0,,4
10247,Daily Commuter,Deira,37,Shaded Walking,2,0,,1
10248,Leisure Resident,Marina,36,Shaded Walking,0,0,,4
10249,Leisure Resident,Jumeirah,48,Shaded Walking,0,1,,4
10250,Leisure Resident,DIFC,33,Metro-Taxi Combo,1,0,,5
10251,Tourist,Deira,46,Shaded Walking,4,1,,5
10252,Daily Commuter,Deira,36,Metro-Taxi Combo,1,0,,3
10253,Leisure Resident,Deira,37,Indoor Shortcut,0,0,,4
10254,Tourist,Jumeirah,37,Indoor Shortcut,2,1,,5
10255,Tourist,Downtown Dubai,35,Shaded Walking,0,1,,3
10256,Daily Commuter,Downtown Dubai,48,Indoor Shortcut,3,0,,4
10257,Leisure Resident,Marina,45,Shaded Walking,3,0,,4
10258,Daily Commuter,Downtown Dubai,45,Metro-Taxi Combo,2,0,,5
10259,Daily Commuter,Deira,44,Indoor Shortcut,4,0,45.0,5
10260,Tourist,Deira,38,Shaded Walking,0,0,,5
10261,Daily Commuter,Deira,43,Indoor Shortcut,4,1,,3
10262,Leisure Resident,Marina,46,Indoor Shortcut,1,0,,5
10263,Tourist,Deira,42,Shaded Walking,2,1,,5
10264,Daily Commuter,Downtown Dubai,46,Indoor Shortcut,1,0,,5
10265,Leisure Resident,Jumeirah,43,Indoor Shortcut,1,0,45.0,4
10266,Daily Commuter,Jumeirah,34,Indoor Shortcut,4,1,,5
10267,Daily Commuter,DIFC,48,Indoor Shortcut,0,0,,5
10268,Daily Commuter,Downtown Dubai,34,Metro-Taxi Combo,0,0,,4
10269,Daily Commuter,Deira,35,Indoor Shortcut,3,0,,4
10270,Tourist,Jumeirah,34,Indoor Shortcut,1,0,,5
10271,Leisure Resident,Downtown Dubai,47,Shaded Walking,2,0,,5
10272,Leisure Resident,Jumeirah,43,Metro-Taxi Combo,1,0,45.0,5
10273,Leisure Resident,Deira,39,Shaded Walking,2,0,,5
10274,Leisure Resident,Jumeirah,48,Shaded Walking,3,0,,5
10275,Daily Commuter,DIFC,38,Shaded Walking,3,0,,3
10276,Daily Commuter,DIFC,42,Metro-Taxi Combo,1,0,,4
10277,Daily Commuter,Jumeirah,32,Shaded Walking,1,0,,5
10278,Daily Commuter,Downtown Dubai,34,Shaded Walking,1,0,,4
10279,Daily Commuter,Downtown Dubai,35,Shaded Walking,2,0,,3
10280,Daily Commuter,Downtown Dubai,44,Indoor Shortcut,2,0,,5
10281,Leisure Resident,Jumeirah,37,Shaded Walking,4,0,,5
10282,Tourist,Downtown Dubai,45,Metro-Taxi Combo,4,0,,4
10283,Daily Commuter,Deira,36,Metro-Taxi Combo,4,0,,4
10284,Tourist,DIFC,47,Indoor Shortcut,2,0,45.0,4
10285,Daily Commuter,Deira,46,Metro-Taxi Combo,2,0,,2
10286,Tourist,Downtown Dubai,46,Metro-Taxi Combo,0,0,45.0,5
10287,Daily Commuter,Deira,35,Indoor Shortcut,2,1,,4
10288,Daily Commuter,Downtown Dubai,39,Shaded Walking,1,1,,5
10289,Tourist,Jumeirah,47,Indoor Shortcut,2,0,,5
10290,Daily Commuter,Deira,47,Shaded Walking,2,0,,5
10291,Tourist,Jumeirah,35,Shaded Walking,1,0,,4
10292,Tourist,Jumeirah,44,Metro-Taxi Combo,5,0,,5
10293,Leisure Resident,Marina,44,Indoor Shortcut,1,0,,4
10294,Daily Commuter,Downtown Dubai,33,Metro-Taxi Combo,3,0,45.0,4
10295,Tourist,DIFC,34,Metro-Taxi Combo,2,1,,5
10296,Daily Commuter,Downtown Dubai,39,Shaded Walking,3,1,,4
10297,Daily Commuter,DIFC,46,Metro-Taxi Combo,4,0,,5
10298,Tourist,Downtown Dubai,42,Indoor Shortcut,1,0,,3
10299,Daily Commuter,Jumeirah,40,Metro-Taxi Combo,0,0,,3
10300,Tourist,Deira,38,Metro-Taxi Combo,4,0,,5
10301,Tourist,Deira,44,Shaded Walking,3,0,,5
10302,Daily Commuter,Marina,33,Indoor Shortcut,1,0,,5
10303,Daily Commuter,DIFC,39,Metro-Taxi Combo,2,0,45.0,5
10304,Daily Commuter,DIFC,38,Shaded Walking,4,0,,4
10305,Daily Commuter,DIFC,43,Metro-Taxi Combo,3,0,,5
10306,Leisure Resident,Jumeirah,38,Indoor Shortcut,1,0,,3
10307,Daily Commuter,DIFC,41,Metro-Taxi Combo,0,0,,5
10308,Tourist,Deira,47,Metro-Taxi Combo,4,0,75.0,5
10309,Daily Commuter,Jumeirah,34,Shaded Walking,1,0,,5
10310,Tourist,Downtown Dubai,41,Metro-Taxi Combo,1,0,,5
10311,Daily Commuter,DIFC,37,Shaded Walking,3,0,,3
10312,Tourist,DIFC,36,Indoor Shortcut,3,0,,5
10313,Tourist,Downtown Dubai,38,Metro-Taxi Combo,2,0,,3
10314,Leisure Resident,DIFC,33,Indoor Shortcut,0,0,45.0,4
10315,Leisure Resident,Downtown Dubai,42,Indoor Shortcut,3,0,,2
10316,Daily Commuter,Jumeirah,44,Metro-Taxi Combo,1,1,,5
10317,Daily Commuter,Deira,36,Shaded Walking,1,0,,3
10318,Tourist,Downtown Dubai,37,Indoor Shortcut,2,0,75.0,4
10319,Tourist,Marina,45,Indoor Shortcut,1,1,,5
10320,Tourist,Downtown Dubai,43,Metro-Taxi Combo,1,0,,5
10321,Daily Commuter,DIFC,35,Metro-Taxi Combo,2,0,,3
10322,Daily Commuter,Jumeirah,37,Metro-Taxi Combo,1,0,45.0,4
10323,Daily Commuter,Jumeirah,41,Metro-Taxi Combo,3,0,,5
10324,Tourist,Downtown Dubai,46,Metro-Taxi Combo,1,0,45.0,5
10325,Leisure Resident,Deira,39,Metro-Taxi Combo,1,0,,2
10326,Daily Commuter,Marina,40,Shaded Walking,4,0,75.0,5
10327,Daily Commuter,Jumeirah,36,Indoor Shortcut,1,0,,5
10328,Daily Commuter,DIFC,41,Shaded Walking,3,0,45.0,5
10329,Daily Commuter,DIFC,37,Shaded Walking,1,0,,5
10330,Tourist,Deira,47,Metro-Taxi Combo,0,0,75.0,5
10331,Daily Commuter,Jumeirah,34,Indoor Shortcut,3,0,,5
10332,Daily Commuter,Downtown Dubai,41,Shaded Walking,1,0,,4
10333,Tourist,DIFC,42,Metro-Taxi Combo,0,0,,5
10334,Tourist,Deira,42,Metro-Taxi Combo,3,0,,5
10335,Tourist,Jumeirah,48,Indoor Shortcut,1,0,45.0,4
10336,Tourist,Jumeirah,35,Shaded Walking,1,0,,5
10337,Leisure Resident,Jumeirah,35,Shaded Walking,4,0,,4
10338,Daily Commuter,Jumeirah,48,Shaded Walking,2,0,45.0,3
10339,Daily Commuter,Jumeirah,40,Metro-Taxi Combo,3,0,,4
10340,Tourist,DIFC,36,Indoor Shortcut,2,0,45.0,5
10341,Daily Commuter,Deira,37,Indoor Shortcut,1,0,,5
10342,Daily Commuter,Jumeirah,34,Shaded Walking,0,0,,4
10343,Tourist,Marina,32,Metro-Taxi Combo,2,0,,5
10344,Daily Commuter,Marina,47,Shaded Walking,0,0,,3
10345,Daily Commuter,Deira,42,Indoor Shortcut,3,0,75.0,5
10346,Daily Commuter,Downtown Dubai,44,Metro-Taxi Combo,1,0,,5
10347,Daily Commuter,Downtown Dubai,41,Shaded Walking,0,1,75.0,5
10348,Tourist,Downtown Dubai,34,Shaded Walking,1,0,,5
10349,Daily Commuter,Marina,40,Metro-Taxi Combo,1,0,75.0,4
10350,Daily Commuter,Downtown Dubai,43,Indoor Shortcut,4,0,,5
10351,Daily Commuter,DIFC,45,Metro-Taxi Combo,3,0,,5
10352,Leisure Resident,Jumeirah,32,Shaded Walking,3,0,,3
10353,Daily Commuter,Marina,48,Shaded Walking,1,0,,5
10354,Tourist,Deira,40,Shaded Walking,2,0,,5
10355,Tourist,Deira,40,Shaded Walking,3,1,,4
10356,Daily Commuter,Jumeirah,41,Indoor Shortcut,3,0,,5
10357,Tourist,Marina,46,Indoor Shortcut,4,0,,5
10358,Daily Commuter,Downtown Dubai,36,Shaded Walking,0,0,,5
10359,Leisure Resident,Downtown Dubai,46,Indoor Shortcut,0,1,,4
10360,Daily Commuter,DIFC,33,Indoor Shortcut,3,0,,4
10361,Daily Commuter,DIFC,44,Indoor Shortcut,2,0,45.0,2
10362,Daily Commuter,Downtown Dubai,47,Shaded Walking,1,0,,5
10363,Daily Commuter,Deira,46,Metro-Taxi Combo,1,0,45.0,5
10364,Daily Commuter,Deira,41,Metro-Taxi Combo,1,0,,5
10365,Leisure Resident,DIFC,45,Metro-Taxi Combo,3,0,,4
10366,Daily Commuter,Jumeirah,41,Shaded Walking,1,0,,3
10367,Leisure Resident,Downtown Dubai,45,Indoor Shortcut,0,0,,5
10368,Leisure Resident,DIFC,40,Indoor Shortcut,1,0,45.0,5
10369,Tourist,DIFC,45,Shaded Walking,5,0,,5
10370,Tourist,Downtown Dubai,34,Shaded Walking,1,0,,5
10371,Tourist,Downtown Dubai,47,Metro-Taxi Combo,0,0,75.0,5
10372,Tourist,Deira,33,Metro-Taxi Combo,3,0,,5
10373,Tourist,Jumeirah,41,Shaded Walking,2,0,,5
10374,Daily Commuter,Jumeirah,34,Metro-Taxi Combo,1,1,,4
10375,Tourist,Downtown Dubai,42,Indoor Shortcut,1,0,45.0,5
10376,Tourist,Marina,42,Shaded Walking,4,0,,5
10377,Leisure Resident,DIFC,44,Shaded Walking,1,0,,4
10378,Tourist,DIFC,38,Indoor Shortcut,2,0,,3
10379,Leisure Resident,Downtown Dubai,48,Indoor Shortcut,2,0,,4
10380,Tourist,Marina,33,Indoor Shortcut,1,0,45.0,5
10381,Tourist,Deira,43,Metro-Taxi Combo,4,0,,4
10382,Daily Commuter,Downtown Dubai,41,Shaded Walking,1,0,,4
10383,Daily Commuter,Downtown Dubai,42,Metro-Taxi Combo,0,1,45.0,5
10384,Leisure Resident,DIFC,47,Indoor Shortcut,2,1,,4
10385,Daily Commuter,Downtown Dubai,48,Metro-Taxi Combo,0,0,,5
10386,Leisure Resident,Downtown Dubai,34,Indoor Shortcut,3,1,,4
10387,Tourist,Downtown Dubai,47,Metro-Taxi Combo,0,1,,5
10388,Tourist,DIFC,37,Metro-Taxi Combo,5,0,,3
10389,Daily Commuter,Deira,43,Indoor Shortcut,3,0,,4
10390,Leisure Resident,Deira,42,Metro-Taxi Combo,1,0,,4
10391,Leisure Resident,Downtown Dubai,46,Shaded Walking,2,0,,5
